title,model_number,condition,sold_price_USD,sold_date,listing_url,Size,Reference,Collection,Description,retail_GBP,Complication,retail_USD,profit_USD,growth_pct
Rolex GMT-Master II 126711CHNR Root Beer UNWORN 2024 Rose Gold Steel 40 mm,126711CHNR,Brand New,20950.0,2024-04-03 00:00:00.000000,https://www.ebay.com/itm/186290192932?hash=item2b5fc2c224%3Ag%3AilgAAOSwBo5k5WFr&itmprp=enc%3AAQAJAAAA4FZTsrqoQ0A8cW9QJTSoTroL5wpLPvrga8Hrul34sWR%2B9aP8VjqZ7mKW%2FGZAJalxvshVPHiVW0v8pQffuC9MzBKjha18%2BF83%2FDmnO%2FhsJZmmulRlh8V9RTfpb1tnskMT4GxLrmrQL8uDFfXbamVeMuVvdBGAxc7niT2znz3rhy8CpKAkh8YlTxZUZHwGbAc4DHiK3NRnITAYsaCWyjX1x1shw%2BxlQSU7hR4%2BTW5D19UwW9rD0dTj%2FDIl%2FFS0msmzsfHgwRPfzJADrp1KassflMkzeEezsXzvDlMim8PlacFX%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,2803.8600000000006,15.451550577698626
Rolex GMT-Master II Root Beer Wristwatch 126711CHNR,126711CHNR,Pre-Owned,18905.0,2024-03-19 00:00:00.000000,https://www.ebay.com/itm/186342568300?hash=item2b62e1f16c%3Ag%3Ai9YAAOSwiUtl8g22&itmprp=enc%3AAQAJAAAA4GfljEWkpwGr56DC2DKIxMKlZB5wrvgVqZBtnl0Rab6kSn23dFwfbeS5WFFK5Fu1s%2BzIxnmEsCFwbJWCi9wftcfUYAi97I4PGUVx0OiOr%2FvWxNepC%2F5%2BLS%2F1u65jg7qJ5VbaaGoEnsKzfhhfH6MYMbrUKlePBxMeoxCncbNqOwJi7BlqVdu%2BanpEuXI%2F%2BMS3nPG54EUQhyt8edyAp3ctYpIpeEV7smNDXfhjZhKZ%2Fd1PH%2FEKOF6RdpY8VYxxaB3HF%2FLxIvnGKfWa42DvvBmTmERAov8VUMIp1TrNTKUcS4RJ%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,758.8600000000006,4.181936213431614
NEW FEB 2024 PAPERS Rolex GMT-Master II 18K Gold ROOT BEER 126711 CHNR 40mm B+P,126711CHNR,Brand New,20993.02,2024-03-30 00:00:00.000000,https://www.ebay.com/itm/276346726913?hash=item40578c6a01%3Ag%3A8pgAAOSw97Nl1hRp&itmprp=enc%3AAQAJAAAA4BS97mCb3P4kgmzHSiw0bX4XIbUzHstBuzCar%2BotXvFQq9eWg5JsopjkIOBVg2lm0jNZtjU1rmwgWByG4ADrstJvCy7o1pmZzyipqJ3lFAgaNnkn0%2FZ6c6RMV6D5k%2FI0inWK03HVzraG3D2m2j7VOvc84GU1o28LF5NMZCUejU2fSDqwJ5AmNnI9DTkYJbVpJ0B4R6q8qANAYt2ONsMs99ittpKHi5HJT9MfOk45j9MLXA9r1UEm1IGlYXprko957xArAfzjeNox0YtpSZDFHkZp%2BAbZSURo7khHbeJhqNi9%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,2846.880000000001,15.688625790388478
2022 Rolex GMT-Master II Two-Tone ROOT BEER Rose Gold Steel 40mm 126711 CHNR B+P,126711CHNR,Pre-Owned,18993.81,2024-03-22 00:00:00.000000,https://www.ebay.com/itm/266729960881?hash=item3e1a5835b1%3Ag%3AJZkAAOSwmall-ynU&itmprp=enc%3AAQAJAAAAwEVv%2BgKGZiuSThPk6MPyIx8ppySH6sCGYAX5igMZlA8Ubfn%2FyfZemlcp0XH70EyrWAjcLt8haqo2256zcQYp%2FWdnseTyrzShCelNDJS6mtRQEK5gs%2B%2FFguGJu3gCLDcHEd6a%2BGeBhugAHTzh%2FYVxsFl2oOZfFayetAjEayhee2ufXiLjKyrZnYxX8TVpVUTliRV2Wko26j%2FwmjWPV2fGm03LSium8byOx0yeVlI4fxxzsLTs%2FMY6uWmtvOE%2BZfaqgA%3D%3D%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,847.6700000000019,4.671351593231399
2022 Unworn Unsized Rolex GMT Master II Two Tone Root Beer Full Set 126711CHNR,126711CHNR,Brand New,19499.0,2024-03-22 00:00:00.000000,https://www.ebay.com/itm/145338143533?hash=item21d6d4132d%3Ag%3AYVgAAOSwF2tl8QG7&itmprp=enc%3AAQAJAAAA4KxdvKjVtkIsK%2FTQGUm1%2BxYDZLM5nd6tlgjU9C8ilXmqQwNU%2F7k%2FIJ7XmLzoUPi%2Bjh%2F8HU7PM2H5v4SKa%2BtVkDEBDsKTp01h2iK2imJnYrqNz2JJ5ljR8S7uzbPvPmRYJhANZOp8O5P9%2F9gFw2WXgpnWtZ9Pxg0Ds4%2B344E5yYp7UDZMyMcWKDoTnGfZtBDB8Rb31QHoaYOwMYQWce9KekpCQ6GIM4o2mK%2BvhLI3HCAANiZmozKIHLyGwGBQ60dcsP5t%2FGZApGIMuAjL1akmET6Ut1hg7jggRvaBZd6qDL70%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,1352.8600000000006,7.455359652245597
MINT 2021 PAPERS Rolex GMT-Master II 18K Gold ROOT BEER 126711 CHNR 40mm BOX,126711CHNR,Pre-Owned,18593.81,2024-03-20 00:00:00.000000,https://www.ebay.com/itm/305420051266?hash=item471c742342%3Ag%3AqpgAAOSwkiRl3hJJ&itmprp=enc%3AAQAJAAAA4EkTCqKSiUnXSApd60erPDWmQLVuuXR0jyEB3GNm%2Fk1h2NFbOdbkg9WmMXvvJ5NO3OIfPAGZuXIJ8XTw6kjCpgX7KUoZzic9qnA58cZ01AOwkb28Vp7YMgRYRzMw4cfRSZbg1u6RZgRI5GcJJFsQEPpBqfuMp%2BmLWDtaD%2FHX75mzVdrW9OvCARRV0WTNya6%2BeAdAT4fwGMC%2FugCCho5AWkrx5mqnv6%2BaKV4CMXzEFTbyNx%2FMPYoibMJd6utczIaZcKBVEex5Jo1cmUdRpe5lYKUZk%2Be9CgE7RSs4C45DZDvo%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,447.6700000000019,2.46702604520852
MINT 2021 PAPERS Rolex GMT-Master II 18K Gold ROOT BEER 126711 CHNR 40mm BOX,126711CHNR,Pre-Owned,18593.81,2024-03-19 00:00:00.000000,https://www.ebay.com/itm/305409842650?hash=item471bd85dda%3Ag%3AI6sAAOSwQbJl17Va&itmprp=enc%3AAQAJAAAA4Hx1BZUiPV%2BxIelXSkmbP72%2BwvlNFHx3%2FQI%2F3BB7ytzhoX7kUEvkNwpaOZShgqFkOv%2B%2BrTzWi777jRPMizLGTuDMakgljeuaJqWJkeedVJhJTjVeeXYDBMFd3rooUNnTDTTg0UkVovhmzET7BkavUR%2B079hy5swgn3%2FV%2BbZ05yb2BIbDZWKV84pXBWhSMoiQnFTwzKPFd1fhIJxfbqna2ndi7y6fXnEqUGB7s5FBM2FqYROQokQ9UCjv32m4pH2O6ajpIxRnxi%2FzC1CrJW8IuverOFeTRdy%2Fq8hvzLgJkhq0%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,447.6700000000019,2.46702604520852
Rolex GMT-Master II Root Beer 126711CHNR 18k Rose Gold & SS Watch,126711CHNR,Pre-Owned,18800.0,2024-03-19 00:00:00.000000,https://www.ebay.com/itm/176192745463?hash=item2905e7eff7%3Ag%3AP5YAAOSwBhBlqrP7&itmprp=enc%3AAQAJAAAAwMJk%2FRZEdpBnaoT2lMh9K63nF87SNXIN%2FJwLfBi0L1Juo5IS2bAkLZUAogzh51Jh9YbFp7au5vm33S2xlPI4Li%2BCg%2Bm%2BrDX7FT0IfUZOF%2BhqdOfF7E7%2B1V5Nkeqq9%2BViJl8BWH8mK3l3Y7YpFXGxasRxcCgo9wknhLuhzO%2Be3cMJTawucqjftczrA5NdjUvWgNkOj1tDJuTFmaMkuqm0rpi2oHdk0D9Oxi8lB8T2CoQ1UOoSrfBPbYO%2FoGgfEJQH%2Bg%3D%3D%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,653.8600000000006,3.6033007570756226
Rolex 126711CHNR 40 Mm GMT-Master II Root Beer Ceramic 18k Rose Gold/Steel B/P,126711CHNR,Pre-Owned,17000.0,2024-03-17 00:00:00.000000,https://www.ebay.com/itm/116098132712?hash=item1b07fceae8%3Ag%3A4B0AAOSwAd9l7fyK&itmprp=enc%3AAQAJAAAAwHntshN1CexEhw7AmniVvMjLOUdkLBmGFHcHEpkyDZHMdVK5l8hxs2ozRcW83EICKKsUIdtT9MvmChIHsynXPwlWk3KG56Eg02tDo8MI8%2F67yEnllI0IhtcXnI23T%2FlfqLJBDGsiNSC7lTyo0x%2FpUTkO%2B52ei0tFSVW9Qqv1SzfaHq7nJrGGPiH2bIMi3vVV1BN%2FgU7Y9QJqrXsAXj1kAvd2Nqs5G2J%2FFe5Nrc5XnIeuDa9F%2BLM8P2GpSIv3LQ18wg%3D%3D%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,-1146.1399999999994,-6.3161642090273755
ROLEX GMT Master II 126711CHNR Stainless Steel 18K Rose Gold Box/Paper,126711CHNR,Pre-Owned,18229.55,2024-03-09 00:00:00.000000,https://www.ebay.com/itm/315186714298?hash=item49629796ba%3Ag%3AZ80AAOSwkV1lNJaJ&itmprp=enc%3AAQAJAAAA4Hdpz%2Bgjwqra0ACUItEtvj1f7ksmk7KiZ%2F1SCnwAFTbyvWPjS%2FGMBySi3wh6MUw%2BFwDj50mFutKK7PpYiegCL2vr%2BKG3%2F6JuircyeHlIrv1hg2UtBSR35IbaS%2BQ4Ur0doO6HIwMAu5MOoyNeiYR7S4pE0VClTkO40xg9eXiEbGymAGNVylEp35CjKfHTbYqEbY%2B%2FMVsIFX5kUHx0l6b04uxGRKqkHWKpfSY3PzOFiyQYrdHehcl1zoGFeG7czK5K4pGQHmgM6g8ogNSF4rgMGE4vLFPnomt8ifphzVEvp8bf%7Ctkp%3ABk9SR-7phfT8Yw&LH_ItemCondition=3000%7C1000,40,126711CHNR,GMT-Master II,Standard Dial,14220.0,"Date, GMT",18146.14,83.40999999999985,0.45965698490146867
